Start Date,End Date,New cases,New Deaths,Total Cases,Total Deaths
2019-11-29,2019-12-05,0,0,0,0
2019-12-06,2019-12-12,0,0,0,0
2019-12-13,2019-12-19,0,0,0,0
2019-12-20,2019-12-26,0,0,0,0
2019-12-27,2020-01-02,0,0,0,0
2020-01-03,2020-01-09,0,0,0,0
2020-01-10,2020-01-16,0,0,0,0
2020-01-17,2020-01-23,0,0,0,0
2020-01-24,2020-01-30,0,0,0,0
2020-01-31,2020-02-06,0,0,0,0
2020-02-07,2020-02-13,0,0,0,0
2020-02-14,2020-02-20,0,0,0,0
2020-02-21,2020-02-27,0,0,0,0
2020-02-28,2020-03-05,0,0,0,0
2020-03-06,2020-03-12,0,0,0,0
2020-03-13,2020-03-19,6,1,6,1
2020-03-20,2020-03-26,15,0,24,1
2020-03-27,2020-04-02,14,0,39,1
2020-04-03,2020-04-09,40,2,87,3
2020-04-10,2020-04-16,85,2,180,5
2020-04-17,2020-04-23,120,3,316,8
2020-04-24,2020-04-30,215,6,557,16
2020-05-01,2020-05-07,178,3,763,19
2020-05-08,2020-05-14,401,6,1199,27
